threshold,validation_labeled_realized_npv,validation_labeled_approved,validation_all_approval_rate,test_approval_rate,approved_total,prior_declined_approved_total
0.05750000000000001,1862742.8210960499,1094,0.32078413900646024,0.3170012475898832,4235,1021
0.05831901961805074,1814129.6650762798,1071,0.31343283582089554,0.30917545650448,4133,988
0.058928409782570565,1796020.5639568232,1046,0.30541323234573403,0.30168991720539867,4031,958
0.05955861741686589,1744594.300965933,1020,0.2965025618177768,0.2931836225473517,3916,917
0.06000000000000001,1734665.3568553845,1004,0.29071062597460456,0.28751275944198706,3840,897
0.06017540480282499,1731676.7200002284,995,0.2871463577634217,0.28456391062719744,3798,878
-0.13218811412520398,1713930.472935924,2423,0.681666295388728,0.6777815583531813,9036,1937
0.06085075769341562,1672212.0454846793,969,0.2793495210514591,0.27435635703754113,3673,834
0.06146561693730221,1614298.217555694,944,0.27177545110269546,0.26800499035953274,3583,801
-0.1485924543034742,1571126.94528069,2448,0.6872354644687013,0.6827719178859022,9105,1937
0.062132957032308034,1570883.9966352312,918,0.2639786143907329,0.2602926165362368,3480,773
0.06250000000000001,1550370.673220871,907,0.26041434617955,0.25484858795508675,3416,754
0.06278285521242845,1517436.099615088,893,0.2559590109155714,0.2507655665192242,3360,735
0.063456211448606,1466331.0465138732,867,0.2472711071508131,0.24101168197799705,3235,687
-0.18091381890583694,1465782.8353561007,2474,0.6930274003118735,0.6894635363502325,9190,1937
0.06389579939462861,1433536.4181176794,842,0.2385832033860548,0.23477373256209594,3141,655
0.06448185373396234,1372582.3316711688,816,0.22967253285809758,0.22581376885561982,3022,621
0.06499999999999999,1334295.7392152403,799,0.22432613054132322,0.2198026539639333,2945,604
0.06521517349994183,1314997.6195095857,791,0.22143016261973714,0.21583304979017806,2897,590
0.06592586031159695,1300398.0304209096,765,0.21140565827578525,0.20573891346262901,2763,547
0.06655070216302865,1276875.9363522711,740,0.20405435509022055,0.19916071226040605,2672,522
0.06712456364081239,1226906.4793092282,714,0.1964802851414569,0.19280934558239765,2582,495
0.06749999999999999,1219377.9883843,700,0.19336155045667186,0.18838607236021324,2529,484
0.06778634510754203,1214484.8516170597,689,0.1900200490086879,0.1841896336622434,2477,477
-0.2345962422745662,1200483.749515709,2499,0.6985965693918468,0.6963819893387774,9276,1937
0.06869976684430315,1157766.1094877846,663,0.18155491200712853,0.17568333900419644,2364,446
0.06932767078166338,1105375.7575526254,638,0.17442637558476276,0.17069297947147555,2288,422
0.06999999999999999,1069845.7455163172,622,0.16774337268879483,0.1652489508903255,2210,399
0.07038903374669457,1053337.9713207432,612,0.16484740476720874,0.16127934671657027,2162,381
0.07090762748026132,1002354.72097654,587,0.15705056805524617,0.15560848361120563,2077,357
-0.3286232272611046,999106.6020116778,2525,0.704388505235019,0.7023931042304639,9355,1937
0.07128441248803986,967534.1578133609,561,0.1494764981064825,0.1498242032437337,1992,338
0.07151683696092839,916993.0191994973,536,0.14234796168411673,0.1435862538278326,1905,322
0.07177192237360093,875143.5410368529,510,0.13544219202494986,0.1373483044119315,1819,307
0.07212501333073595,833693.3531782094,485,0.12786812207618622,0.12827492344334807,1705,278
0.07240632156692031,821347.284188771,459,0.12140788594341724,0.1199954633095157,1603,263
0.0725,797766.0843799594,448,0.11873468478503008,0.11829420437790632,1576,260
0.0726251760443129,765443.0166587888,434,0.11539318333704611,0.11568560734943859,1538,255
0.07292611491989252,704139.5985597637,408,0.10759634662508354,0.10956107519564477,1449,240
0.07325958173764259,679201.3365020521,383,0.10113611049231455,0.10275603946920721,1360,226
0.07346731254516957,653724.263015067,357,0.0942303408331477,0.09753884541227174,1283,214
0.07372635165353228,598584.799874723,332,0.08665627088438405,0.08948621980265396,1178,191
0.07424669375548595,546025.0222123626,306,0.07863666740922254,0.0796189179993195,1055,166
0.0745281503065364,501873.3738584152,281,0.07173089775005569,0.0733809685834184,969,147
0.07477028607078647,447119.55951171543,255,0.0652706616172867,0.06634909833276624,878,127
0.075,419438.8803138633,241,0.06148362664290488,0.062379494159011,826,117
0.07513077990075728,398932.12732576695,230,0.05881042548451771,0.059544062606328683,789,112
0.07527375243581583,360253.62235659274,203,0.05190465582535086,0.05341953045253488,704,97
0.0753295190262834,311652.57280738273,179,0.0456671864557808,0.04740841556084836,623,85
0.07542484683905736,273147.0435561459,153,0.03876141679661395,0.038561869116479526,514,66
0.07554623894003176,227704.98375972518,128,0.03230118066384496,0.03311784053532948,437,52
0.07575300817311659,180352.23796403952,102,0.02472711071508131,0.024724963139389815,329,31
0.07590023320992517,131373.23501547816,77,0.01871240810871018,0.01860043098559601,248,21
0.07595314962613735,83331.23185007121,50,0.011583871686344397,0.00952705001701259,136,7
0.07607968028698821,8568.785511365071,6,0.0013366005791935842,0.0014744244073948054,19,0
