policy,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
blend_decomp_direct_hgb_0.5,0.0,2071,0.8118384947079577,3814258.1225860026,1841.7470413259307,0.08353452438435538,0.9702077616620933
blend_decomp_direct_hgb_0.8,0.0049999999999999906,2053,0.8047824382595061,3814239.1267778007,1857.8855951182663,0.08280565026790063,0.9584476675813407
blend_decomp_direct_hgb_0.9,0.0049999999999999906,2056,0.8059584476675813,3813215.646168198,1854.6768707043764,0.08317120622568093,0.9549196393571149
direct_margin_hgb_squared,0.009999999999999995,2036,0.7981183849470795,3812120.9937393656,1872.3580519348554,0.08104125736738703,0.9502156017248138
blend_decomp_direct_hgb_0.4,0.0,2067,0.8102704821638573,3809737.5842264015,1843.1241336363819,0.08272859216255443,0.973343786750294
direct_margin_hgb_squared,0.0049999999999999906,2062,0.8083104664837318,3808458.8927093023,1846.973274834773,0.08389912706110572,0.9517836142689141
blend_decomp_direct_hgb_0.2,0.0,2067,0.8102704821638573,3808058.0219940245,1842.311573291739,0.0822447992259313,0.9796158369266954
blend_decomp_direct_hgb_0.6,0.0,2075,0.813406507252058,3806565.0411033826,1834.4891764353652,0.08433734939759036,0.964719717757742
blend_decomp_direct_hgb_0.5,0.018996887091860808,1943,0.7616620932967464,3806511.0785725573,1959.08959267759,0.07359752959341224,0.9607996863974911
direct_margin_hgb_squared,0.008436339478676497,2044,0.8012544100352803,3802317.610549795,1860.2336646525416,0.08170254403131115,0.9517836142689141
direct_margin_hgb_squared,-0.0073275071094370346,2140,0.8388867110936887,3801710.4485777114,1776.500209615753,0.08925233644859813,0.9376715013720109
blend_decomp_direct_hgb_0.7,0.009999999999999995,2021,0.7922383379067033,3801019.5493217492,1880.761776012741,0.07916872835230084,0.9631517052136417
blend_decomp_direct_hgb_0.4,0.013898473360261574,1975,0.7742061936495492,3800060.106599452,1924.081066632634,0.07544303797468355,0.9725597804782439
decomp_plus_profit_support_0.02,0.008436339478676497,2024,0.7934143473147786,3798863.8955796473,1876.9090393180074,0.08053359683794467,0.9956879655037241
blend_decomp_direct_hgb_0.8,0.013898473360261574,2005,0.7859662877303019,3798622.6788114524,1894.5749021503502,0.07830423940149626,0.9576636613092905
blend_decomp_direct_hgb_0.1,0.0049999999999999906,2022,0.7926303410427283,3797764.116727181,1878.221620537676,0.08061325420375866,0.9949039592316739
blend_decomp_direct_hgb_0.6,-0.0050000000000000044,2106,0.8255586044688358,3796665.8280476686,1802.785293469928,0.08641975308641975,0.9588396707173658
blend_decomp_direct_hgb_0.6,0.008436339478676497,2026,0.7941983535868287,3796505.0171445254,1873.8919136942377,0.08045409674234946,0.9674637397099177
