name,threshold,npv,approved_labeled,default_rate_approved,auroc,log_loss,brier,mean_pd,approved_total,headline_enpv,val_approval_rate,test_approval_rate
rev_0.35_rar_-0.05,-0.01846114507182796,2620238.2497188374,2101,0.13802950975725845,0.733644557104633,0.4443846641143524,0.13957824302981767,0.21430942615861082,8422,14804605.61924146,0.6315437736689686,0.6336622433934445
rev_0.25_rar_-0.20,-0.003682652283001597,2619844.8878771164,2083,0.13778204512722037,0.7341017697037975,0.4413946772630934,0.13853659849354888,0.20696641685949896,8355,14881483.54155302,0.6282022722209847,0.6277645457638653
rev_alpha_0.65,-0.020751520243936797,2619698.721170271,2101,0.1399333650642551,0.7197544946721119,0.46429014907519733,0.14663531973153018,0.2257143332995259,8444,14989978.32526496,0.6364446424593451,0.6336622433934445
rev_0.35_rar_0.05,-0.021800771394509456,2619692.2566359825,2102,0.1379638439581351,0.7347918133596207,0.44586563560384873,0.14013615194232767,0.2180674234327995,8393,14743111.592086896,0.6306527066161729,0.6308268118407622
rev_0.30_rar_0.30,-0.01787217395722324,2619520.0587465744,2054,0.13437195715676728,0.7340022532037741,0.45407559606568126,0.14320751070185855,0.2279060043658601,8202,14766271.494287804,0.6190688349298284,0.6150618124078485
rev_0.30_rar_0.25,-0.019042782467802263,2619232.7633981714,2066,0.1355275895450145,0.7347326667605502,0.45133022076484575,0.1421943032464896,0.22556558339670021,8249,14771295.130736696,0.6228558699042103,0.6184643302710673
rev_0.40_rar_0.10,-0.016715668972678642,2618677.0054503665,2075,0.13686746987951806,0.7330521522790218,0.4494250967437695,0.1414225902426223,0.22135249344572547,8316,14820502.480607672,0.6259746045889953,0.6244754451627538
amount_alpha_0.10,0.01473322929018734,2618346.943538164,1958,0.1302349336057201,0.7435060789560157,0.4385901750157117,0.1377433945719227,0.21276831945930905,7879,14517083.567097032,0.5914457562931611,0.5924917772484972
rev_-0.20_rar_0.25,0.015518417473384174,2618011.6557057677,1918,0.12825860271115747,0.7287766981176359,0.45150692079950483,0.14175232635873788,0.22115109336982205,7782,14642346.783574611,0.585208286923591,0.5846659861630941
amount_alpha_-0.35,0.02511967765227055,2617988.75433427,1927,0.1307732226258433,0.711319063042764,0.4508064210265538,0.140696473155239,0.2061911356618635,7926,15226323.872111086,0.5967921586099354,0.5951003742769649
rev_0.15_rar_-0.10,-0.013730108997668654,2617946.542692662,2118,0.14022662889518414,0.7389902830587242,0.43864090369251935,0.13756647112571552,0.20825197951024357,8391,14750777.614312943,0.6331031410113611,0.6293523874333674
amount_alpha_0.65,-0.012282728534047715,2617768.3461112333,2017,0.13287059990084282,0.7417157207904991,0.45712182632703674,0.14479347445604404,0.23469930180255577,7983,13732690.827028716,0.5987970594787257,0.6005444028581151
rar_alpha_0.55,-0.0063714065265347555,2617489.9172797343,1980,0.13232323232323231,0.728586584049195,0.4693004243883211,0.14850616550005216,0.23692176546693883,7947,14732513.775868692,0.5987970594787257,0.5964613814222525
amount_alpha_0.70,-0.015077093900939368,2617217.954387404,2023,0.1329708353929807,0.7408012955921701,0.4604380831422511,0.1459102194281761,0.23722888860559932,7991,13651706.75208037,0.6005791935843172,0.6005444028581151
rev_0.20_rar_0.25,0.01208424321743075,2617129.01790445,1935,0.13023255813953488,0.7360329531051965,0.44864059029472725,0.14121100755655125,0.22376845726417421,7840,14744310.585718255,0.5912229895299621,0.5881819212884201
rev_0.15_rar_-0.15,-0.014986466587484273,2616820.9406409273,2131,0.14030971374941342,0.7380636530066187,0.43881077000386465,0.13764514700254696,0.20655470125189923,8454,14770157.093679512,0.6359991089329472,0.635023250538732
rar_alpha_0.65,0.0023807132048267203,2616712.966745577,1917,0.1288471570161711,0.7260245035910435,0.4793087584407305,0.1520006413029554,0.2422520941114744,7789,14781549.890522934,0.5856538204499888,0.5852330724736304
