variant,threshold,validation_labeled_realized_npv,validation_labeled_approved,validation_all_approval_rate,test_approval_rate,approved_total,prior_declined_approved_total
blend_direct_full_alpha_0.25_prior_floor_0p03,0.010034194291384878,2628228.979550712,1964,0.6184005346402317,0.6195985028921401,8239,2452
blend_direct_full_alpha_0.7_prior_floor_0p03,0.007500000000000007,2619173.7222271585,1921,0.5847627533971932,0.5862538278325962,7794,2151
blend_direct_full_alpha_0.7,0.007500000000000007,2619173.7222271585,1921,0.6344397415905547,0.6341159124418737,8439,2796
blend_direct_recency_weight_180d_alpha_0.5_prior_floor_0p03,0.0175,2616955.129610984,1874,0.5892180886611718,0.5936259498695702,7879,2335
blend_direct_recency_weight_180d_alpha_0.5,0.0175,2616955.129610984,1874,0.6179550011138338,0.6242486106385392,8278,2734
blend_direct_late_2025_regime_only_alpha_0.85,-0.0175,2613188.6506025777,2031,0.66874582312319,0.6691618464330271,8902,2927
blend_direct_late_2025_regime_only_alpha_0.85_prior_floor_0p03,-0.0175,2613188.6506025777,2031,0.6039206950323012,0.6078031076329817,8070,2095
blend_direct_recency_weight_180d_alpha_0.85,0.0025000000000000022,2610285.9441192234,1944,0.6482512809088884,0.653623681524328,8673,2935
blend_direct_recency_weight_180d_alpha_0.85_prior_floor_0p03,0.0025000000000000022,2610285.9441192234,1944,0.5881042548451771,0.5919246909379607,7859,2121
direct_recency_weight_180d,0.0050000000000000044,2609424.7555925953,1909,0.6344397415905547,0.6378586820914143,8472,2842
direct_recency_weight_180d_prior_floor_0p03,0.0050000000000000044,2609424.7555925953,1909,0.5754065493428381,0.5787682885335148,7686,2056
blend_direct_recency_weight_180d_alpha_0.7,0.0175,2608811.2856055386,1850,0.6065938961906884,0.6092775320403765,8095,2646
blend_direct_recency_weight_180d_alpha_0.7_prior_floor_0p03,0.0175,2608811.2856055386,1850,0.5734016484740476,0.57729386412612,7664,2215
direct_late_2025_regime_only_prior_floor_0p03,-0.0175,2586066.545300601,2016,0.5961238583203387,0.595894295111716,7930,2000
direct_late_2025_regime_only,-0.0175,2586066.545300601,2016,0.6611717531744263,0.6620165589202677,8805,2875
